"index","y_pred"
1,0.628
2,0.774
3,0.646
4,0.794
5,0.758
6,0.75
7,0.758
8,0.8
9,0.762
10,0.762
11,0.608
12,0.794
13,0.758
14,0.794
15,0.614
16,0.636
17,0.614
18,0.606
19,0.628
20,0.75
21,0.636
22,0.636
23,0.774
24,0.608
25,0.608
26,0.714
27,0.608
28,0.608
29,0.792
30,0.608
31,0.628
32,0.636
33,0.608
34,0.762
35,0.758
36,0.778
37,0.646
38,0.608
39,0.608
40,0.646
41,0.696
42,0.608
43,0.628
44,0.608
45,0.714
46,0.76
47,0.794
48,0.76
49,0.714
50,0.606
51,0.758
52,0.608
53,0.646
54,0.636
55,0.636
56,0.608
57,0.714
58,0.712
59,0.608
60,0.714
61,0.636
62,0.608
63,0.646
64,0.636
65,0.608
66,0.646
67,0.614
68,0.608
69,0.794
70,0.762
71,0.636
72,0.75
73,0.608
74,0.608
75,0.608
76,0.79
77,0.608
78,0.794
79,0.778
80,0.762
81,0.606
82,0.636
83,0.636
84,0.758
85,0.75
86,0.762
87,0.77
88,0.762
89,0.628
90,0.758
91,0.608
92,0.608
93,0.646
94,0.758
95,0.762
96,0.606
97,0.8
98,0.762
99,0.778
100,0.628
101,0.608
102,0.646
103,0.608
104,0.628
105,0.8
106,0.636
107,0.608
108,0.714
109,0.646
110,0.758
111,0.628
112,0.628
113,0.712
114,0.794
115,0.608
116,0.646
117,0.646
118,0.608
119,0.628
120,0.608
121,0.762
122,0.778
123,0.714
124,0.636
125,0.614
126,0.714
127,0.77
128,0.628
129,0.608
130,0.77
131,0.696
132,0.758
133,0.608
134,0.628
135,0.608
136,0.696
137,0.636
138,0.608
139,0.636
140,0.75
141,0.8
142,0.608
143,0.794
144,0.778
145,0.608
146,0.758
147,0.714
148,0.606
149,0.79
150,0.778
151,0.75
152,0.608
153,0.608
154,0.614
155,0.608
156,0.608
157,0.714
158,0.628
159,0.606
160,0.608
161,0.762
162,0.758
163,0.714
164,0.608
165,0.794
166,0.608
167,0.636
168,0.646
169,0.608
170,0.608
171,0.792
172,0.608
173,0.608
174,0.636
175,0.606
176,0.608
177,0.76
178,0.636
179,0.758
180,0.774
181,0.762
182,0.606
183,0.614
184,0.606
185,0.636
186,0.606
187,0.608
188,0.794
189,0.636
190,0.636
191,0.636
192,0.608
193,0.762
194,0.608
195,0.606
196,0.636
197,0.636
198,0.646
199,0.614
200,0.608
201,0.636
202,0.606
203,0.628
204,0.636
205,0.758
206,0.646
207,0.608
208,0.8
209,0.606
210,0.794
211,0.758
212,0.608
213,0.608
214,0.646
215,0.608
216,0.608
217,0.608
218,0.628
219,0.636
220,0.762
221,0.628
222,0.614
223,0.762
224,0.636
225,0.636
226,0.758
227,0.646
228,0.762
229,0.636
230,0.774
231,0.646
232,0.608
233,0.778
234,0.606
