ID,pred
8010,0.4
8011,0.254
8012,0.574
8013,0.412
8014,0.698
8015,0.562
8016,0.458
8017,0.53
8018,0.634
8019,0.53
8020,0.326
8021,0.396
8022,0.618
8023,0.536
8024,0.408
8025,0.318
8026,0.406
8027,0.352
8028,0.468
8029,0.56
8030,0.418
8031,0.56
8032,0.464
8033,0.572
8034,0.324
8035,0.348
8036,0.444
8037,0.464
8038,0.518
8039,0.734
8040,0.436
8041,0.47
8042,0.562
8043,0.568
8044,0.394
8045,0.492
8046,0.626
8047,0.648
8048,0.458
8049,0.458
8050,0.118
8051,0.644
8052,0.588
8053,0.542
8054,0.464
8055,0.558
8056,0.662
8057,0.436
8058,0.59
8059,0.412
8060,0.634
8061,0.502
8062,0.494
8063,0.524
8064,0.75
8065,0.66
8066,0.388
8067,0.59
8068,0.446
8069,0.608
8070,0.404
8071,0.524
8072,0.472
8073,0.41
8074,0.698
8075,0.522
8076,0.604
8077,0.602
8078,0.664
8079,0.576
8080,0.44
8081,0.476
8082,0.572
8083,0.588
8084,0.576
8085,0.514
8086,0.494
8087,0.414
8088,0.756
8089,0.53
8090,0.49
8091,0.494
8092,0.506
8093,0.584
8094,0.492
8095,0.556
8096,0.49
8097,0.5
8098,0.52
8099,0.51
8100,0.512
8101,0.708
8102,0.65
8103,0.594
8104,0.53
8105,0.598
8106,0.59
8107,0.462
8108,0.58
8109,0.464
8110,0.422
8111,0.646
8112,0.486
8113,0.57
8114,0.372
8115,0.494
8116,0.416
8117,0.554
8118,0.744
8119,0.514
8120,0.58
8121,0.654
8122,0.63
8123,0.558
8124,0.45
8125,0.676
8126,0.526
8127,0.564
8128,0.538
8129,0.486
8130,0.65
8131,0.544
8132,0.55
8133,0.544
8134,0.518
8135,0.596
8136,0.622
8137,0.602
8138,0.666
8139,0.45
8140,0.514
8141,0.63
8142,0.506
8143,0.446
8144,0.61
8145,0.508
8146,0.464
8147,0.508
8148,0.492
8149,0.63
8150,0.59
8151,0.532
8152,0.498
8153,0.504
8154,0.46
8155,0.5
8156,0.574
8157,0.478
8158,0.628
8159,0.478
8160,0.626
8161,0.574
8162,0.478
8163,0.592
8164,0.548
8165,0.708
8166,0.56
8167,0.522
8168,0.568
8169,0.484
8170,0.57
8171,0.64
8172,0.732
8173,0.686
8174,0.69
8175,0.65
8176,0.57
8177,0.68
8178,0.522
8179,0.398
8180,0.478
8181,0.674
8182,0.62
8183,0.74
8184,0.486
8185,0.678
8186,0.572
8187,0.634
8188,0.642
8189,0.632
8190,0.478
8191,0.528
8192,0.548
8193,0.498
8194,0.616
8195,0.486
8196,0.614
8197,0.558
8198,0.72
8199,0.476
8200,0.522
8201,0.628
8202,0.636
8203,0.652
8204,0.382
8205,0.648
8206,0.38
8207,0.682
8208,0.488
8209,0.616
8210,0.58
8211,0.63
8212,0.498
8213,0.71
8214,0.666
8215,0.592
8216,0.57
8217,0.478
8218,0.348
8219,0.636
8220,0.292
8221,0.546
8222,0.588
8223,0.594
8224,0.602
8225,0.526
8226,0.494
8227,0.474
8228,0.724
8229,0.574
8230,0.566
8231,0.488
8232,0.672
8233,0.422
8234,0.728
8235,0.468
8236,0.542
8237,0.61
8238,0.642
8239,0.414
8240,0.42
8241,0.642
8242,0.594
8243,0.526
8244,0.446
8245,0.744
8246,0.776
8247,0.49
8248,0.64
8249,0.602
8250,0.65
8251,0.73
8252,0.65
8253,0.494
8254,0.498
8255,0.616
8256,0.476
8257,0.342
8258,0.378
8259,0.402
8260,0.208
8261,0.668
8262,0.472
8263,0.346
8264,0.598
8265,0.47
8266,0.626
8267,0.372
8268,0.436
8269,0.442
8270,0.47
8271,0.416
8272,0.458
8273,0.394
8274,0.482
8275,0.638
8276,0.622
8277,0.676
8278,0.532
8279,0.514
8280,0.512
8281,0.434
8282,0.58
8283,0.42
8284,0.496
8285,0.59
8286,0.62
8287,0.514
8288,0.556
8289,0.414
8290,0.538
8291,0.55
8292,0.568
8293,0.558
8294,0.456
8295,0.636
8296,0.656
8297,0.47
8298,0.64
8299,0.594
8300,0.55
8301,0.614
8302,0.45
8303,0.44
8304,0.54
8305,0.622
8306,0.484
8307,0.53
8308,0.6
8309,0.356
8310,0.528
8311,0.556
8312,0.676
8313,0.452
8314,0.342
8315,0.534
8316,0.51
8317,0.586
8318,0.414
8319,0.584
8320,0.418
8321,0.626
8322,0.382
8323,0.402
8324,0.34
8325,0.536
8326,0.568
8327,0.518
8328,0.454
8329,0.306
8330,0.442
8331,0.668
8332,0.51
8333,0.504
8334,0.478
8335,0.542
8336,0.532
8337,0.41
8338,0.608
8339,0.546
8340,0.592
8341,0.708
8342,0.468
8343,0.572
8344,0.466
8345,0.726
8346,0.414
8347,0.5
8348,0.664
8349,0.812
8350,0.692
8351,0.632
8352,0.588
8353,0.492
8354,0.72
8355,0.738
8356,0.412
8357,0.448
8358,0.594
8359,0.488
8360,0.486
8361,0.4
8362,0.466
8363,0.656
8364,0.41
8365,0.736
8366,0.542
8367,0.664
8368,0.598
8369,0.588
8370,0.584
8371,0.452
8372,0.536
8373,0.61
8374,0.526
8375,0.614
8376,0.582
8377,0.546
8378,0.658
8379,0.48
8380,0.616
8381,0.522
8382,0.634
8383,0.598
8384,0.55
8385,0.488
8386,0.34
8387,0.476
8388,0.604
8389,0.54
8390,0.654
8391,0.634
8392,0.646
8393,0.448
8394,0.418
8395,0.594
8396,0.678
8397,0.658
8398,0.658
8399,0.382
8400,0.528
8401,0.516
8402,0.564
8403,0.638
8404,0.73
8405,0.7
8406,0.484
8407,0.526
8408,0.472
8409,0.576
8410,0.558
8411,0.44
8412,0.596
8413,0.538
8414,0.588
8415,0.626
8416,0.788
8417,0.624
8418,0.646
8419,0.56
8420,0.628
8421,0.468
8422,0.59
8423,0.486
8424,0.654
8425,0.468
8426,0.628
8427,0.634
8428,0.516
8429,0.706
8430,0.546
8431,0.64
8432,0.536
8433,0.678
8434,0.554
8435,0.728
8436,0.608
8437,0.512
8438,0.462
8439,0.618
8440,0.736
8441,0.652
8442,0.674
8443,0.452
8444,0.504
8445,0.37
8446,0.654
8447,0.558
8448,0.534
8449,0.558
8450,0.292
8451,0.41
8452,0.652
8453,0.506
8454,0.592
8455,0.748
8456,0.702
8457,0.484
8458,0.536
8459,0.604
8460,0.462
8461,0.49
8462,0.526
8463,0.708
8464,0.66
8465,0.498
8466,0.684
8467,0.554
8468,0.628
8469,0.732
8470,0.642
8471,0.596
8472,0.452
8473,0.59
8474,0.544
8475,0.728
8476,0.636
8477,0.532
8478,0.554
8479,0.616
8480,0.428
8481,0.488
8482,0.476
8483,0.582
8484,0.63
8485,0.532
8486,0.404
8487,0.668
8488,0.586
8489,0.592
8490,0.636
8491,0.59
8492,0.604
8493,0.792
8494,0.538
8495,0.53
8496,0.4
8497,0.528
8498,0.622
8499,0.448
8500,0.524
8501,0.574
8502,0.51
8503,0.452
8504,0.502
8505,0.578
8506,0.55
8507,0.628
8508,0.672
8509,0.456
8510,0.542
8511,0.378
8512,0.656
8513,0.464
8514,0.554
8515,0.53
8516,0.548
8517,0.606
8518,0.728
8519,0.522
8520,0.458
8521,0.278
8522,0.44
8523,0.438
8524,0.72
8525,0.536
8526,0.644
8527,0.61
8528,0.444
8529,0.398
8530,0.562
8531,0.528
8532,0.562
8533,0.596
8534,0.5
8535,0.744
8536,0.56
8537,0.606
8538,0.648
8539,0.408
8540,0.588
8541,0.628
8542,0.698
8543,0.482
8544,0.506
8545,0.496
8546,0.512
8547,0.632
8548,0.632
8549,0.6
8550,0.574
8551,0.362
8552,0.502
8553,0.308
8554,0.49
8555,0.456
8556,0.382
8557,0.61
8558,0.462
8559,0.622
8560,0.388
8561,0.296
8562,0.37
8563,0.61
8564,0.634
8565,0.428
8566,0.49
8567,0.552
8568,0.626
8569,0.58
8570,0.682
8571,0.578
8572,0.48
8573,0.566
8574,0.61
8575,0.628
8576,0.59
8577,0.602
8578,0.512
8579,0.616
8580,0.74
8581,0.546
8582,0.596
8583,0.458
8584,0.612
8585,0.614
8586,0.496
8587,0.494
8588,0.476
8589,0.628
8590,0.742
8591,0.622
8592,0.624
8593,0.474
8594,0.576
