"ID","pred"
8010,0.58
8011,0.722
8012,0.47
8013,0.554
8014,0.29
8015,0.446
8016,0.498
8017,0.458
8018,0.392
8019,0.444
8020,0.698
8021,0.588
8022,0.444
8023,0.46
8024,0.602
8025,0.718
8026,0.618
8027,0.642
8028,0.512
8029,0.472
8030,0.512
8031,0.46
8032,0.592
8033,0.4
8034,0.646
8035,0.594
8036,0.576
8037,0.562
8038,0.506
8039,0.278
8040,0.586
8041,0.538
8042,0.414
8043,0.468
8044,0.662
8045,0.534
8046,0.336
8047,0.346
8048,0.536
8049,0.488
8050,0.888
8051,0.332
8052,0.426
8053,0.426
8054,0.53
8055,0.462
8056,0.352
8057,0.572
8058,0.414
8059,0.58
8060,0.408
8061,0.518
8062,0.478
8063,0.53
8064,0.22
8065,0.31
8066,0.632
8067,0.452
8068,0.61
8069,0.416
8070,0.564
8071,0.468
8072,0.532
8073,0.588
8074,0.352
8075,0.468
8076,0.336
8077,0.366
8078,0.318
8079,0.444
8080,0.57
8081,0.514
8082,0.408
8083,0.398
8084,0.462
8085,0.476
8086,0.498
8087,0.556
8088,0.228
8089,0.47
8090,0.476
8091,0.516
8092,0.468
8093,0.418
8094,0.5
8095,0.444
8096,0.556
8097,0.544
8098,0.466
8099,0.48
8100,0.524
8101,0.27
8102,0.354
8103,0.404
8104,0.458
8105,0.344
8106,0.436
8107,0.618
8108,0.374
8109,0.496
8110,0.528
8111,0.32
8112,0.508
8113,0.422
8114,0.652
8115,0.544
8116,0.55
8117,0.476
8118,0.258
8119,0.47
8120,0.376
8121,0.368
8122,0.454
8123,0.394
8124,0.486
8125,0.33
8126,0.494
8127,0.438
8128,0.466
8129,0.512
8130,0.352
8131,0.434
8132,0.452
8133,0.496
8134,0.51
8135,0.374
8136,0.37
8137,0.408
8138,0.31
8139,0.558
8140,0.53
8141,0.348
8142,0.482
8143,0.582
8144,0.374
8145,0.534
8146,0.534
8147,0.574
8148,0.522
8149,0.372
8150,0.462
8151,0.492
8152,0.474
8153,0.536
8154,0.572
8155,0.474
8156,0.466
8157,0.542
8158,0.354
8159,0.536
8160,0.39
8161,0.428
8162,0.51
8163,0.426
8164,0.47
8165,0.306
8166,0.412
8167,0.404
8168,0.442
8169,0.468
8170,0.392
8171,0.42
8172,0.27
8173,0.348
8174,0.316
8175,0.324
8176,0.476
8177,0.306
8178,0.464
8179,0.556
8180,0.484
8181,0.32
8182,0.414
8183,0.318
8184,0.498
8185,0.35
8186,0.398
8187,0.408
8188,0.396
8189,0.396
8190,0.48
8191,0.516
8192,0.412
8193,0.548
8194,0.382
8195,0.56
8196,0.384
8197,0.412
8198,0.306
8199,0.532
8200,0.46
8201,0.358
8202,0.382
8203,0.352
8204,0.618
8205,0.338
8206,0.578
8207,0.32
8208,0.508
8209,0.39
8210,0.43
8211,0.392
8212,0.508
