"index","y_pred"
1,0.558
2,0.492
3,0.376
4,0.862
5,0.536
6,0.264
7,0.198
8,0.426
9,0.918
10,0.344
11,0.148
12,0.59
13,0.45
14,0.084
15,0.43
16,0.846
17,0.924
18,0.124
19,0.988
20,0.168
21,0.952
22,0.332
23,0.036
24,0.716
25,0.078
26,0.904
27,0.254
28,0.046
29,0.138
30,0.098
31,0.092
32,0.25
33,0.174
34,0.368
35,0.15
36,0.184
37,0.07
38,0.992
39,0.164
40,0.992
41,0.164
42,0.074
43,0.818
44,0.198
45,0.12
46,0.966
47,0.286
48,0.086
49,0.122
50,0.89
51,0.026
52,0.054
53,0.818
54,0.11
55,0.766
56,0.992
57,0.122
58,0.062
59,0.992
60,0.17
61,0.038
62,0.248
63,0.022
64,0.236
65,0.192
66,0.384
67,0.01
68,0.222
69,0.208
70,0.124
71,0.198
72,0.91
73,0.218
74,0.128
75,0.078
76,0.692
77,0.168
78,0.334
79,0.042
80,0.244
81,0.868
82,0.068
83,0.016
84,0.152
85,0.116
86,0.636
87,0.218
88,0.958
89,0.244
90,0.212
91,0.04
92,0.038
93,0.386
94,0.17
95,0.068
96,0.814
97,0.36
98,0.134
99,0.784
100,0.826
101,0.858
102,0.202
103,0.196
104,0.116
105,0.826
106,0.09
107,0.042
108,0.162
109,0.674
110,0.214
111,0.774
112,0.014
113,0.964
114,0.268
115,0.024
116,0.194
117,0.262
118,0.102
119,0.114
120,0.114
121,0.19
122,0.978
123,0.908
124,0.092
125,0.766
126,0.068
127,0.118
128,0.972
129,0.942
130,0.264
131,0.238
132,0.064
133,0.298
134,0.138
135,0.902
136,0.034
137,0.042
138,0.932
139,0.822
140,0.984
141,0.116
142,0.232
143,0.198
144,0.362
145,0.106
146,0.968
147,0.21
148,0.13
149,0.34
150,0.128
151,0.122
152,0.2
153,0.29
154,0.976
155,0.092
156,0.318
157,0.006
158,0.984
159,0.22
160,0.154
161,0.864
162,0.048
163,0.814
164,0.234
165,0.458
166,0.048
167,0.234
168,0.172
169,0.104
170,0.038
171,0.234
172,0.966
173,0.192
174,0.942
175,0.132
176,0.116
177,0.21
178,0.212
179,0.948
180,0.162
181,0.194
182,0.122
183,0.012
184,0.19
185,0.964
186,0.076
187,0.128
188,0.3
189,0.262
190,0.13
191,0.244
192,0.094
193,0.044
194,0.906
195,0.362
196,0.11
197,0.946
198,0.038
199,0.054
200,0.308
201,0.098
202,0.188
203,0.11
204,0.936
205,0.056
206,0.048
207,0.99
208,0.818
209,0
210,0.12
211,0.996
212,0.048
213,0.24
214,0.092
215,0.206
216,0.242
217,0.962
218,0.992
219,0.12
220,0.136
221,0.966
222,0.118
223,0.954
224,0.892
225,0.142
226,0.028
227,0.992
228,0.946
229,0.294
230,0.002
231,0.114
232,0.098
233,0.96
234,0.09
235,0.108
236,0.294
237,0.906
238,0.95
239,0.266
240,0.882
241,0.04
242,0.992
243,0.062
244,0.278
245,0.992
246,0.334
247,0.45
248,0.122
249,0.184
250,0.106
251,0.15
252,0.208
253,0.196
254,0.876
255,0.422
256,0.694
257,0.166
258,0.282
259,0.254
